Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.00,INE922A01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.00,INE472A01039,Air Conditioner,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Air Conditioner,
500084,"CESC Limited,",CESC,CESC LTD.,Active,A ,1.00,INE486A01021,Electric Utilities,Equity,Utilities,Power,Power,Electric Utilities,
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.00,INE085A01013,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,
500086,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,
500087,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A ,2.00,INE067A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,
500101,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Active,A ,10.00,INE034A01011,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,
500103,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
500106,IFCI Ltd.,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution,
500108,"Mahanagar Telephone Nigam Ltd.,",MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,A ,10.00,INE153A01019,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
500112,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Active,A ,1.00,INE062A01020,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank,
500113,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
500114,Titan Company Limited,TITAN,Titan Company Limited,Active,A ,1.00,INE280A01028,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,
500119,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A ,10.00,INE041A01016,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,
500124,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500125,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.00,INE126A01031,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10.00,INE199A01012,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500133,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Active,A ,10.00,INE284A01012,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products,
500135,EPL LIMITED,EPL,EPL Ltd,Active,A ,2.00,INE255A01020,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
500144,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.00,INE235A01022,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,
500148,Uflex Limited,UFLEX,UFLEX LTD.,Active,A ,10.00,INE516A01017,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
500163,"Godfrey Phillips India Ltd.,",GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.00,INE260B01028,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,
500164,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.00,INE233A01035,Animal Feed,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,
500165,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.00,INE531A01024,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,
500171,GHCL Ltd.,GHCL,GHCL LTD.,Active,A ,10.00,INE539A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A ,1.00,INE040A01034,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.00,INE158A01026,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,
500183,HFCL LIMITED,HFCL,HFCL Ltd,Active,A ,1.00,INE548A01028,Telecom - Infrastructure,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1.00,INE019C01026,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
500185,"Hindustan Construction Co. Ltd.,",HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.00,INE549A01026,Engineering- Designing & Construction,Equity,Industrials,Construction,Construction,"Engineering, Designing & Construction",
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A ,10.00,INE345A01011,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,
500188,"Hindustan Zinc Ltd.,",HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.00,INE267A01025,Zinc,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc,
500199,IG Petrochemicals Ltd,IGPL,I G PETROCHEMICALS LTD.,Active,A ,10.00,INE204A01010,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
500201,India Glycols Ltd,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,A ,10.00,INE560A01015,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
500209,Infosys Ltd,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,A ,10.00,INE177A01018,Compressors & Pumps,Equity,Industrials,Capital Goods,Industrial Products,Compressors & Pumps,
500214,Ion Exchange (India) Ltd,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,A ,10.00,INE570A01014,Engineering- Designing & Construction,Equity,Industrials,Construction,Construction,"Engineering, Designing & Construction",
500219,"Jain Irrigation Systems Ltd.,",JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.00,INE175A01038,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,A ,10.00,INE197D01010,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
500228,JSW Steel Limited,JSWSTEEL,JSW STEEL LTD.,Active,A ,1.00,INE019A01038,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
500233,Kajaria Ceramics Ltd,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A ,1.00,INE217B01036,Furniture- Home Furnishing- Flooring,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing, Flooring",
500238,Whirlpool of India Ltd,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A ,10.00,INE716A01013,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,
500245,Kirloskar Ferrous Industries Ltd.,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,A ,5.00,INE884B01025,Pig Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Pig Iron,
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.00,INE237A01028,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,
500249,KSB LIMITED,KSB,KSB Ltd,Active,A ,10.00,INE999A01015,Compressors & Pumps,Equity,Industrials,Capital Goods,Industrial Products,Compressors & Pumps,
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Active,A ,10.00,INE337A01034,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
500251,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,Active,A ,1.00,INE849A01020,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,
500252,"Lakshmi Machine Works Ltd.,",LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A ,10.00,INE269B01029,Industrial Machinery,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Machinery,
500253,Lic Housing Finance Ltd.,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.00,INE115A01026,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
500257,Lupin Ltd,LUPIN,LUPIN LTD.,Active,A ,2.00,INE326A01037,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,Active,A ,1.00,INE331A01037,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,A ,5.00,INE271B01025,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,
500266,"Maharashtra Scooters Ltd.,",MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,A ,10.00,INE288A01013,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
500268,"Manali Petrochemicals Ltd.,",MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,A ,5.00,INE201A01024,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Active,A ,2.00,INE180A01020,Life Insurance,Equity,Financial Services,Financial Services,Insurance,Life Insurance,
500280,"Century Enka Ltd.,",CENTENKA,CENTURY ENKA LTD.,Active,A ,10.00,INE485A01015,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
500285,SpiceJet Limited,SPICEJET,SPICEJET LTD.,Active,A ,10.00,INE285B01017,Airline,Equity,Services,Services,Transport Services,Airline,
500288,Morepen Laboratories Ltd.,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,A ,2.00,INE083A01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500290,"M.R.F. Ltd.,",MRF,MRF LTD.,Active,A ,10.00,INE883A01011,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
500292,HeidelbergCement  India Limited,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,A ,10.00,INE578A01017,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500294,NCC Limited,NCC,NCC Limited,Active,A ,2.00,INE868B01028,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,
500295,Vedanta Limited,VEDL,Vedanta Limited,Active,A ,1.00,INE205A01025,Diversified Metals,Equity,Commodities,Metals & Mining,Diversified Metals,Diversified Metals,
500300,"Grasim Industries Ltd.,",GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,2.00,INE047A01021,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500302,Piramal Enterprises Limited,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.00,INE140A01024,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
500304,"NIIT Ltd.,",NIITLTD,NIIT LTD.,Active,A ,2.00,INE161A01038,Education,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,Active,A ,5.00,INE213A01029,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,
500325,Reliance Industries Ltd,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A ,10.00,INE002A01018,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
500330,Raymond Limited,RAYMOND,RAYMOND LTD.,Active,A ,10.00,INE301A01014,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,
500331,Pidilite Industries Ltd.,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1.00,INE318A01026,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
500335,Birla Corporation Ltd.,BIRLACORPN,BIRLA CORPORATION LTD.,Active,A ,10.00,INE340A01012,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500336,"Surya Roshni Ltd.,",SURYAROSNI,SURYA ROSHNI LTD.,Active,A ,10.00,INE335A01012,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,Active,A ,10.00,INE010A01011,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,Active,A ,2.00,INE855B01025,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,
500355,Rallis India Ltd,RALLIS,RALLIS INDIA LTD.,Active,A ,1.00,INE613A01020,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,
500378,Jindal Saw Ltd.,JINDALSAW,JINDAL SAW LTD.,Active,A ,2.00,INE324A01024,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,
500380,JK Lakshmi Cement Limited,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,A ,5.00,INE786A01032,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500387,"Shree Cements Ltd.,",SHREECEM,SHREE CEMENT LTD.,Active,A ,10.00,INE070A01015,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500390,Reliance Infrastructure Ltd,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,A ,10.00,INE036A01016,Electric Utilities,Equity,Utilities,Power,Power,Electric Utilities,
500400,Tata Power Co. Ltd,TATAPOWER,TATA POWER CO.LTD.,Active,A ,1.00,INE245A01021,Electric Utilities,Equity,Utilities,Power,Power,Electric Utilities,
500403,"Sundram Fasteners Ltd.,",SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,A ,1.00,INE387A01021,Fastener,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Fastener,
500405,Supreme Petrochem Ltd.,SPLPETRO,SUPREME PETROCHEM LTD.,Active,A ,4.00,INE663A01025,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,
500408,Tata Elxsi Ltd,TATAELXSI,TATA ELXSI LTD.,Active,A ,10.00,INE670A01012,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
500410,ACC Ltd,ACC,ACC LTD.,Active,A ,10.00,INE012A01025,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500411,Thermax Ltd.,THERMAX,THERMAX LTD.,Active,A ,2.00,INE152A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
500412,"Thirumalai Chemicals Ltd.,",TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,A ,1.00,INE338A01024,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
500413,"Thomas Cook (India) Ltd.,",THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,A ,1.00,INE332A01027,Tour- Travel Related Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",
500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Active,A ,5.00,INE685A01028,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500425,Ambuja Cements Ltd.,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A ,2.00,INE079A01024,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
500440,Hindalco Industries Ltd.,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.00,INE038A01020,Aluminium,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,
500444,West Coast Paper Mills Limited,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Active,A ,2.00,INE976A01021,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Active,A ,10.00,INE179A01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,
500469,Federal Bank Ltd.,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2.00,INE171A01029,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,
500470,TATA STEEL LIMITED,TATASTEEL,TATA STEEL LTD.,Active,A ,1.00,INE081A01020,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,Active,A ,10.00,INE640A01023,Bearings,Equity,Industrials,Capital Goods,Industrial Products,Bearings,
500477,"Ashok Leyland Ltd.,",ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.00,INE208A01029,Commercial Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,
500480,"Cummins India Ltd.,",CUMMINSIND,CUMMINS INDIA LTD.,Active,A ,2.00,INE298A01020,Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,Diesel Engines,
500483,Tata Communications Limited,TATACOMM,TATA COMMUNICATIONS LTD.,Active,A ,10.00,INE151A01013,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,
500488,Abbott India Ltd.,ABBOTINDIA,ABBOTT INDIA LTD.,Active,A ,10.00,INE358A01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Active,A ,10.00,INE118A01012,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company,
500493,Bharat Forge Ltd,BHARATFORG,BHARAT FORGE LTD.,Active,A ,2.00,INE465A01025,Castings & Forgings,Equity,Industrials,Capital Goods,Industrial Products,Castings & Forgings,
500495,Escorts Kubota Limited,ESCORTS,Escorts Kubota Ltd,Active,A ,10.00,INE042A01014,Tractors,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors,
500510,Larsen & Toubro Limited,LT,LARSEN & TOUBRO LTD.,Active,A ,2.00,INE018A01030,Engineering- Designing & Construction,Equity,Industrials,Construction,Construction,"Engineering, Designing & Construction",
500520,Mahindra & Mahindra Ltd.,M&M,MAHINDRA & MAHINDRA LTD.,Active,A ,5.00,INE101A01026,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,
500530,Bosch Ltd,BOSCHLTD,BOSCH LTD.,Active,A ,10.00,INE323A01026,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
500547,"Bharat Petroleum Corpn. Ltd.,",BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE029A01011,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
500550,"Siemens Ltd.,",SIEMENS,SIEMENS LTD.,Active,A ,2.00,INE003A01024,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
500570,Tata Motors Ltd.,TATAMOTORS,TATA MOTORS LTD.,Active,A ,2.00,INE155A01022,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,
500575,"Voltas Ltd.,",VOLTAS,VOLTAS LTD.,Active,A ,1.00,INE226A01021,Air Conditioner,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Air Conditioner,
500620,"Great Eastern Shipping Co. Ltd.,",GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Active,A ,10.00,INE017A01032,Shipping,Equity,Services,Services,Transport Services,Shipping,
